VXMD;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;894;588;2382;384;112;20270;1558;1127;13812;
2 arg;2339;2126;8512;1591;911;4584;4714;3327;260;
3 its;1284;753;50572;24445;1749;2041;23722;2350;3468;
4 man;5723;3431;195954;196923;3563;52136;37126;13419;26325;
