VXMD;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;47768;19075;22796;122844;138971;115140;25587;74556;502496;
2 arg;2326;2591;7666;44182;19014;11365;54452;32441;1045;
3 its;8755;5835;353931;236974;18082;17960;168798;19767;28282;
4 man;34451;12598;650985;2418765;60899;41006;381135;68467;148120;
