VXMD;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;1361;8208;5086;1781;359;2913;550;2545;17926;
2 arg;2103;2377;6519;4251;2387;3621;2902;3216;2845;
3 its;2495;1125;58252;37168;3237;3879;33857;5110;4134;
4 man;8981;4155;206584;260897;8185;24699;68908;11989;61562;
