VXMD;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;0,000;4020;845;357;26,1;285;757;40,6;291;
2 arg;0,000;988;4574;1582;102;1163;519;2310;572;
3 its;0,000;639;46505;17993;1189;1811;15554;1579;2879;
4 man;0,000;26966;138257;93270;805;1017;18263;5854;1793;
