VXMD;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;16294;2098;546;136;99,6;371;599;271;808;
2 arg;525;1121;2574;516;7,78;197;89,2;147;87,0;
3 its;445;180;14257;7195;546;682;7004;817;960;
4 man;35667;12730;64034;44689;276;451;4931;638;1565;
