VXWD;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;236;64,7;220;4129;879;1654;858;82,0;8523;
2 arg;1,27;8,40;280;792;970;132;572;243;36,2;
3 its;565;479;24435;15033;2532;1506;13260;1215;2126;
4 man;183;106;54206;150189;16116;1628;33071;2616;2552;
