VXWD;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;34831;2121;546;138;99,6;375;600;272;809;
2 arg;529;1121;2572;516;7,78;197;89,6;147;87,0;
3 its;445;180;14257;7195;546;682;7004;817;960;
4 man;37696;13109;64206;45489;275;455;4945;643;1568;
