VXWD;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;75473;19891;22653;125039;139003;115451;25593;75284;502575;
2 arg;2426;2592;7660;44233;19065;11376;55134;32982;1045;
3 its;8755;5835;353931;236974;18082;17960;168798;19767;28282;
4 man;37686;12786;651551;2446296;60873;41468;382622;69050;148220;
