VXWD;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;302;386;2344;361;1134;11034;5331;20214;3994;
2 arg;71,5;14,8;663;643;45,5;245;6098;6633;54,6;
3 its;1674;1086;65183;30394;1960;2689;26705;1929;5072;
4 man;4275;1158;96849;166456;1437;4182;127192;83993;5512;
