VXWD;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;1051;591;2377;412;112;20372;1558;1142;13812;
2 arg;2339;2126;8512;1591;911;4584;4721;3334;260;
3 its;1284;753;50572;24445;1749;2041;23722;2350;3468;
4 man;6279;3460;197013;201852;3564;53636;37271;13557;26374;
