VXWD;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;1509;8683;5064;1848;359;2914;550;2592;17927;
2 arg;2104;2377;6517;4252;2387;3621;2930;3223;2847;
3 its;2495;1125;58252;37168;3237;3879;33857;5110;4134;
4 man;10015;4185;207877;266534;8141;24972;69139;12069;61783;
