VXWD;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;2492;1571;3635;2695;946;18273;168721;50571;80400;
2 arg;178;166;3838;6690;779;2478;43898;11380;355;
3 its;6242;4734;256029;144195;9727;14730;62206;12271;22388;
4 man;20406;3506;510229;1106142;15702;19286;1016686;75145;30250;
