VXWD;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;157878;57039;154191;6950;5351;130643;29957;25827;78887;
2 arg;2633;4618;116827;10679;2276;13104;16043;16147;1815;
3 its;21107;9761;845707;337814;18718;29782;283583;29731;39655;
4 man;100705;36057;3671605;876174;16376;84473;343447;54950;64962;
