TFRV;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;0,567;233;64,6;45,5;19,5;36,3;3,78;103;9,16;
2 arg;292;372;1026;217;193;84,9;125;297;36,6;
3 its;0;0;0;0;0;0;0;0;0;
4 man;330;224;12571;22032;410;544;2306;600;462;
