TFRV;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;18,1;1,69;11,5;18,1;0,383;90,3;3,93;2,62;46,1;
2 arg;179;105;611;157;83,5;187;412;132;13,4;
3 its;0;0;0;0;0;0;0;0;0;
4 man;369;185;12268;24925;255;2496;3394;1186;1246;
