TFRV;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;518;30,9;1401;496;363;471;94,8;115;3876;
2 arg;907;1484;996;4232;1068;818;8116;5484;90,5;
3 its;0;0;0;0;0;0;0;0;0;
4 man;1194;426;39019;79943;3621;1308;18198;3437;5981;
