TFRV;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;0;0;0,125;0,792;0,300;0,838;2,20;0,000;0,244;
2 arg;0,000;0,001;0,918;4,93;11,1;0,111;1,01;0,153;0,022;
3 its;0;0;0;0;0;0;0;0;0;
4 man;3,05;1,46;2457;5254;318;110;499;45,8;49,1;
