TFRV;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;0,084;0,022;6,71;2,63;1,000;2,36;52,9;0,135;0,918;
2 arg;2,40;0,081;52,3;68,3;1,31;16,7;592;24,6;1,33;
3 its;0;0;0;0;0;0;0;0;0;
4 man;124;30,2;8630;16943;99,0;176;6540;518;219;
