TFRV;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;5,54;3,10;5,20;0,703;0,192;1,89;0,787;4,62;1,34;
2 arg;64,7;106;818;284;50,1;319;583;824;55,3;
3 its;0;0;0;0;0;0;0;0;0;
4 man;2212;588;2685;26501;1134;324;6461;3192;1085;
