TFRV;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;0;0;10,7;7,46;0,981;6,03;0,993;0,134;0,579;
2 arg;0;0;362;72,7;3,20;56,9;12,1;60,3;63,1;
3 its;0;0;0;0;0;0;0;0;0;
4 man;0;0,224;11540;7999;65,2;52,4;1725;1029;97,1;
