TFRV;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;0,007;19,4;1,84;1,37;0,061;6,21;12,8;138;0,283;
2 arg;29,5;4,77;45,4;66,7;4,88;17,0;172;107;3,06;
3 its;0;0;0;0;0;0;0;0;0;
4 man;139;45,5;7610;31160;226;334;3946;1353;131;
